,0
0,Afghanistan
1,Albania
2,Algeria
3,
4,Angola
5,Angola
6,Angola
7,
8,Argentina
9,Armenia
10,Cuba
11,Australia
12,Austria
13,Azerbaijan
14,Bahamas
15,Brazil
16,Bangladesh
17,
18,Belarus
19,Belgium
20,Belize
21,Benin
22,
23,Bhutan
24,
25,
26,Bosnia and Herz.
27,Botswana
28,Brazil
29,
30,
31,Bulgaria
32,Burkina Faso
33,Burundi
34,
35,Cambodia
36,Cameroon
37,Canada
38,
39,Central African Rep.
40,Chad
41,Chile
42,China
43,Colombia
44,
45,Congo
46,
47,Costa Rica
48,C̫te d'Ivoire
49,Croatia
50,Cuba
51,
52,Cyprus
53,Czechia
54,
55,
56,Denmark
57,Djibouti
58,Dominican Rep.
59,Dominican Rep.
60,Ecuador
61,Egypt
62,El Salvador
63,Eq. Guinea
64,Eritrea
65,Estonia
66,eSwatini
67,Ethiopia
68,
69,
70,Fiji
71,Finland
72,France
73,
74,
75,Gabon
76,Gambia
77,Georgia
78,Germany
79,Ghana
80,
81,Greece
82,Greenland
83,Greenland
84,
85,Guatemala
86,Guatemala
87,Germany
88,Guinea
89,Guinea-Bissau
90,Guyana
91,Haiti
92,
93,Honduras
94,Hungary
95,Iceland
96,India
97,Indonesia
98,
99,Iraq
100,Ireland
101,
102,Israel
103,Italy
104,Jamaica
105,Japan
106,
107,Jordan
108,Kazakhstan
109,Kenya
110,
111,Kosovo
112,Kuwait
113,Kyrgyzstan
114,
115,Latvia
116,Lebanon
117,Lesotho
118,Liberia
119,Libya
120,
121,Lithuania
122,Luxembourg
123,Madagascar
124,Malawi
125,Malaysia
126,Mali
127,Mali
128,Malawi
129,
130,Mozambique
131,Mauritania
132,Mauritania
133,
134,Mexico
135,
136,Morocco
137,Mongolia
138,Montenegro
139,Montenegro
140,Morocco
141,Mozambique
142,Myanmar
143,Namibia
144,
145,Nepal
146,Netherlands
147,New Caledonia
148,New Zealand
149,Nicaragua
150,Niger
151,Nigeria
152,Niger
153,North Macedonia
154,
155,Norway
156,
157,Oman
158,
159,Pakistan
160,Paraguay
161,Panama
162,Papua New Guinea
163,Paraguay
164,Peru
165,Philippines
166,
167,Poland
168,Portugal
169,Puerto Rico
170,Qatar
171,
172,
173,
174,Romania
175,
176,Rwanda
177,Zambia
178,
179,
180,
181,
182,
183,
184,
185,Cambodia
186,
187,
188,Saudi Arabia
189,Senegal
190,Serbia
191,
192,Sierra Leone
193,
194,
195,
196,Slovakia
197,Slovenia
198,Solomon Is.
199,Somalia
200,South Africa
201,S. Sudan
202,Spain
203,Sri Lanka
204,Sudan
205,Suriname
206,Sweden
207,Switzerland
208,
209,Tajikistan
210,Thailand
211,United Kingdom
212,Timor-Leste
213,Togo
214,
215,Togo
216,Trinidad and Tobago
217,Tunisia
218,Turkey
219,Turkmenistan
220,
221,
222,Uganda
223,Ukraine
224,United Arab Emirates
225,
226,United States of America
227,United States of America
228,Uruguay
229,Uzbekistan
230,Vanuatu
231,
232,Vietnam
233,
234,Yemen
235,Zambia
236,Zimbabwe
